DFD,DF,F2F,FS,NS
77.025,89.25,84.275,79.225,93.425
77.05,87.7,79.95,73.925,93.675
75.55,86.15,71.3,68.525,87.4
78.525,90.375,75.425,75.4,88.52499999999999
80.45,87.575,87.625,82.1,93.89999999999999
 , , , , 
78.875,89.25,84.275,79.225,93.425
78.0,87.7,79.95,73.925,93.675
77.17500000000001,86.15,71.3,68.525,87.4
79.225,90.375,75.425,75.4,88.52499999999999
82.89999999999999,87.575,87.625,82.1,93.89999999999999
 , , , , 
80.30000000000001,89.25,84.275,79.225,93.425
77.9,87.7,79.95,73.925,93.675
78.725,86.15,71.3,68.525,87.4
80.325,90.375,75.425,75.4,88.52499999999999
82.475,87.575,87.625,82.1,93.89999999999999
 , , , , 
81.975,93.95,91.60000000000001,90.8,98.75
83.1,94.3,86.5,86.775,99.125
81.675,91.57499999999999,78.975,83.55,96.0
83.775,94.625,82.65,86.725,96.0
83.8,92.475,90.95,90.275,97.35000000000001
 , , , , 
83.15,93.95,91.60000000000001,90.8,98.75
83.3,94.3,86.5,86.775,99.125
81.55,91.57499999999999,78.975,83.55,96.0
84.82499999999999,94.625,82.65,86.725,96.0
85.25,92.475,90.95,90.275,97.35000000000001
 , , , , 
84.275,93.95,91.60000000000001,90.8,98.75
83.8,94.3,86.5,86.775,99.125
83.25,91.57499999999999,78.975,83.55,96.0
85.725,94.625,82.65,86.725,96.0
86.05000000000001,92.475,90.95,90.275,97.35000000000001
 , , , , 
89.825,95.22500000000001,93.75,96.525,98.75
87.52499999999999,96.6,90.8,94.075,98.9
89.825,93.05,84.85000000000001,92.925,95.65
91.3,96.95,87.45,94.65,95.85000000000001
88.85,95.6,94.0,95.45,97.125
 , , , , 
90.525,95.22500000000001,93.75,96.525,98.75
89.925,96.6,90.8,94.075,98.9
91.175,93.05,84.85000000000001,92.925,95.65
92.675,96.95,87.45,94.65,95.85000000000001
91.77499999999999,95.6,94.0,95.45,97.125
 , , , , 
90.45,95.22500000000001,93.75,96.525,98.75
91.14999999999999,96.6,90.8,94.075,98.9
91.9,93.05,84.85000000000001,92.925,95.65
91.175,96.95,87.45,94.65,95.85000000000001
90.425,95.6,94.0,95.45,97.125
 , , , , 
93.75,97.65,94.925,98.1,99.3
91.05,98.425,95.175,96.45,99.375
94.6,97.225,90.025,96.0,97.45
94.19999999999999,98.625,92.45,96.975,97.32499999999999
94.35,98.1,96.22500000000001,96.85000000000001,98.6
 , , , , 
94.72500000000001,97.65,94.925,98.1,99.3
94.475,98.425,95.175,96.45,99.375
97.05,97.225,90.025,96.0,97.45
95.075,98.625,92.45,96.975,97.32499999999999
96.975,98.1,96.22500000000001,96.85000000000001,98.6
 , , , , 
95.75,97.65,94.925,98.1,99.3
95.475,98.425,95.175,96.45,99.375
98.125,97.225,90.025,96.0,97.45
97.375,98.625,92.45,96.975,97.32499999999999
98.4,98.1,96.22500000000001,96.85000000000001,98.6
 , , , , 
